project_id,file,document_type,study_cycle,phase,issue_date,project_upgrade_cost,in_service_timeline
J1410,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1411,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1629,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1895,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1931,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1934,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1935,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1943,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1993,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2029,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2055,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2074,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2099,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2107,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2148,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2185,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2193,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2211,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2218,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2304,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J2316,miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,DPP 2021,Phase 3,11-05-2025,,24-48 months
J1040,miso_docs\GI-DPP-2021_20West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC704357.pdf,SIS,DPP 2021,Phase 2,,,
J1846,miso_docs\GI-DPP-2021_20West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC704357.pdf,SIS,DPP 2021,Phase 2,,"$27,521,457",
J1847,miso_docs\GI-DPP-2021_20West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC704357.pdf,SIS,DPP 2021,Phase 2,,"$17,826,820",
